route_id,fare_id
8541,c
8542,c
8543,c
8544,c
8545,c
8546,c
8547,c
8548,c
8549,c
8550,c
8551,c
8552,c
8553,c
8554,c
8555,c
8556,c
8557,c
8558,c
8559,c
8560,c
8561,c
8562,c
8563,c
8564,c
8565,c
8566,c
8567,c
8568,c
8569,c
8570,c
8571,c
8572,c
8573,c
8574,c
8575,c
8576,c
8577,c
8578,c
8579,c
8580,c
8581,c
8582,c
8583,c
8584,c
8585,c
8586,c
8587,c
8588,c
8589,c
8590,c
8591,c
8592,c
8593,c
8594,c
8595,c
8596,c
8597,c
8598,c
8599,c
8600,f
8601,f
8602,f
8603,f
8703,c
8704,c
8705,c
8706,c
8707,c
8708,c
8709,c
8710,c
8711,c
8712,c
8713,c
8714,c
8715,c
8716,c
8717,c
8718,c
8719,c
8720,c
8721,c
8722,c
8723,c
8724,c
8725,c
8726,c
8727,c
8728,c
8729,c
8730,c
8731,c
8732,c
8733,c
8734,c
8735,c
8736,c
8737,c
8738,c
8739,c
8740,c
8741,c
8742,c
8743,c
8744,c
8745,c
8746,c
8747,c
8748,c
8749,c
8750,c
8751,c
8752,c
8753,c
8754,c
8755,c
8756,c
8757,c
8758,c
8759,c
8760,c
8761,c
8762,f
8763,f
8764,f
8765,f
