route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8541,88,MMT,01,,OLD UNIV:CAP SQR,Weekday schedule trips operate regularly every 60 minutes from approximately 9 AM until 3 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-1,E3D23E,000000,1
8542,88,MMT,02,,WEST TP:NORTH TP,Daily schedule trips operate regularly at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,981F66,FFFFFF,1
8543,88,MMT,03,,WEST TP:EAST TP,Weekday schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-3,CD8382,000000,1
8544,88,MMT,04,,SOUTH TP:NORTH TP,Weekday schedule trips operate regularly every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,42784D,000000,1
8545,88,MMT,05,,SOUTH TP:EAST TP,Weekday schedule trips operate regularly every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B46A5B,000000,1
8546,88,MMT,06,,E TOWNE:WEST TP,Weekday schedule trips operate at least every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes. Limited weekday trips operate via Tokay and Madison College.,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,CC382C,000000,1
8547,88,MMT,07,,WEST TP:EAST TP,Weekend/holiday trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,AEC34B,000000,1
8548,88,MMT,08,,SPRNG HB:CAP SQR,Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,D8A464,000000,1
8549,88,MMT,10,,UNIV ROW:UNION CS,Weekday schedule trips operate at least every 30 minutes from approximately 7 AM until 9 PM. Limited trips operate east of Broom Street and west of Sheboygan Avenue.,3,http://www.cityofmadison.com/metro/routes-schedules/route-10,919249,000000,1
8550,88,MMT,11,,DUTCH ML:WEST TP,Weekday schedule trips operate regularly eastbound every 30 minutes from approximately 6 AM until 9 AM and westbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,D3886A,000000,1
8551,88,MMT,12,,DUTCH ML:WEST TP,Weekday schedule trips operate regularly westbound every 30 minutes from approximately 6 AM until 9 AM and eastbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-12,9B8821,000000,1
8552,88,MMT,13,,U CAMPUS:SOUTH TP,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-13,803E0E,000000,1
8553,88,MMT,14,,WEXFD RG:ETP/SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM. Weeknight trips operate regularly every 60 minutes west of Capitol Square.,3,http://www.cityofmadison.com/metro/routes-schedules/route-14,778D22,000000,1
8554,88,MMT,15,,JUNCT RG:ETP/SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM. Weeknight trips operate regularly every 60 minutes west of Capitol Square. Limited trips operate via Greenway.,3,http://www.cityofmadison.com/metro/routes-schedules/route-15,C3C946,000000,1
8555,88,MMT,16,,SOUTH TP:EAST TP,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-16,B86FAD,000000,1
8556,88,MMT,17,,NORTH TP:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-17,4D6BB1,000000,1
