route_id,route_short_name,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,shape_code,trip_type,trip_sort,wheelchair_accessible,bikes_allowed
8541,01,88_WKD,904927,CAPITOL SQUARE,0,Capitol Square,185696,52334,1E,,35760,1,1
8541,01,88_WKD,904928,CAPITOL SQUARE,0,Capitol Square,185697,52334,1E,,39360,1,1
8541,01,88_WKD,904929,CAPITOL SQUARE,0,Capitol Square,185696,52334,1E,,42960,1,1
8541,01,88_WKD,904930,CAPITOL SQUARE,0,Capitol Square,185697,52334,1E,,46560,1,1
8541,01,88_WKD,904931,CAPITOL SQUARE,0,Capitol Square,185696,52334,1E,,50160,1,1
8541,01,88_WKD,904932,CAPITOL SQUARE,0,Capitol Square,185697,52334,1E,,53760,1,1
8541,01,88_WKD,904938,OLD UNIVERSITY: VIA CAMPUS,1,University,185696,52335,1W,,34560,1,1
8541,01,88_WKD,904937,OLD UNIVERSITY: VIA CAMPUS,1,University,185697,52335,1W,,38160,1,1
8541,01,88_WKD,904936,OLD UNIVERSITY: VIA CAMPUS,1,University,185696,52335,1W,,41760,1,1
8541,01,88_WKD,904935,OLD UNIVERSITY: VIA CAMPUS,1,University,185697,52335,1W,,45360,1,1
8541,01,88_WKD,904934,OLD UNIVERSITY: VIA CAMPUS,1,University,185696,52335,1W,,48960,1,1
8541,01,88_WKD,904933,OLD UNIVERSITY: VIA CAMPUS,1,University,185697,52335,1W,,52560,1,1
8542,02,88_WKD,904939,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185698,52336,2S,C,19800,1,1
8542,02,88_WKD,904940,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185699,52338,2F,C,21600,1,1
8542,02,88_WKD,904952,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185710,52338,2F,,22500,1,1
8542,02,88_WKD,904966,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185714,52336,2S,,23400,1,1
8542,02,88_WKD,904953,CAPITOL SQUARE,0,North Transfer,185711,52337,2Q,,24300,1,1
8542,02,88_WKD,904941,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185700,52338,2F,,25200,1,1
8542,02,88_WKD,904954,CAPITOL SQUARE,0,North Transfer,185712,52337,2Q,,26100,1,1
8542,02,88_WKD,904965,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185716,52336,2S,,27000,1,1
8542,02,88_WKD,904980,CAPITOL SQUARE,0,North Transfer,185699,52337,2Q,,27900,1,1
8542,02,88_WKD,904942,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185701,52338,2F,,28800,1,1
8542,02,88_WKD,904981,CAPITOL SQUARE,0,North Transfer,185724,52337,2Q,,29700,1,1
8542,02,88_WKD,904964,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185713,52336,2S,,30600,1,1
8542,02,88_WKD,904979,CAPITOL SQUARE,0,North Transfer,185723,52337,2Q,,31500,1,1
8542,02,88_WKD,904943,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185702,52338,2F,,32400,1,1
8542,02,88_WKD,904982,CAPITOL SQUARE,0,North Transfer,185725,52337,2Q,,33300,1,1
8542,02,88_WKD,904963,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185718,52336,2S,,34200,1,1
8542,02,88_WKD,904944,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185703,52338,2F,,36000,1,1
8542,02,88_WKD,904962,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185717,52336,2S,,37800,1,1
8542,02,88_WKD,904945,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185700,52338,2F,,39600,1,1
8542,02,88_WKD,904961,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185716,52336,2S,,41400,1,1
8542,02,88_WKD,904978,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185714,52338,2F,,43200,1,1
8542,02,88_WKD,904960,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185713,52336,2S,,45000,1,1
8542,02,88_WKD,904977,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185702,52338,2F,,46800,1,1
8542,02,88_WKD,904959,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185701,52336,2S,,48600,1,1
8542,02,88_WKD,904976,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185708,52338,2F,,50400,1,1
8542,02,88_WKD,904958,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185703,52336,2S,,52200,1,1
8542,02,88_WKD,904975,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185700,52336,2S,,54000,1,1
8542,02,88_WKD,904983,CAPITOL SQUARE,0,North Transfer,185726,52337,2Q,,54900,1,1
8542,02,88_WKD,904957,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185715,52336,2S,,55800,1,1
8542,02,88_WKD,904984,CAPITOL SQUARE,0,North Transfer,185727,52337,2Q,,56700,1,1
8542,02,88_WKD,904974,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185718,52336,2S,,57600,1,1
8542,02,88_WKD,904985,CAPITOL SQUARE,0,North Transfer,185728,52337,2Q,,58500,1,1
8542,02,88_WKD,904956,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185714,52336,2S,,59400,1,1
8542,02,88_WKD,904986,CAPITOL SQUARE,0,North Transfer,185726,52337,2Q,,60300,1,1
8542,02,88_WKD,904973,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185722,52336,2S,,61200,1,1
8542,02,88_WKD,904987,CAPITOL SQUARE,0,North Transfer,185727,52337,2Q,,62100,1,1
8542,02,88_WKD,904955,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185713,52336,2S,,63000,1,1
8542,02,88_WKD,904988,CAPITOL SQUARE,0,North Transfer,185728,52337,2Q,,63900,1,1
8542,02,88_WKD,904972,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185709,52338,2F,,64800,1,1
8542,02,88_WKD,904989,CAPITOL SQUARE,0,North Transfer,185726,52337,2Q,,65700,1,1
8542,02,88_WKD,904946,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185704,52336,2S,,66600,1,1
8542,02,88_WKD,904990,CAPITOL SQUARE,0,North Transfer,185727,52337,2Q,,67500,1,1
8542,02,88_WKD,904971,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185721,52338,2F,,68400,1,1
8542,02,88_WKD,904991,CAPITOL SQUARE,0,North Transfer,185728,52337,2Q,,69300,1,1
